Precision,Recall,F-Score,Support
0.8309792843691148,0.8404761904761905,0.8357007575757576,2100.0
0.8653136531365314,0.8933333333333333,0.8791002811621369,2100.0
0.773567029843676,0.7776190476190477,0.7755877463785323,2100.0
0.6923076923076923,0.6737142857142857,0.6828844483058211,1750.0
0.9098110907982937,0.8531428571428571,0.8805662046593925,1750.0
0.7647492625368731,0.7407142857142858,0.7525399129172715,1400.0
0.7004333694474539,0.7388571428571429,0.7191323692992214,1750.0
0.9204761904761904,0.9204761904761904,0.9204761904761904,2100.0
0.7106164383561644,0.7114285714285714,0.7110222729868646,1750.0
0.9190090519294902,0.9185714285714286,0.9187901881400333,2100.0
