Precision,Recall,F-Score,Support
0.8901322482197355,0.8333333333333334,0.8607968519429415,2100.0
0.8570774163994503,0.8909523809523809,0.8736866682232081,2100.0
0.7358863008290565,0.8876190476190476,0.8046622059140945,2100.0
0.6979341150195422,0.7142857142857143,0.7060152499293986,1750.0
0.84774728120145,0.9354285714285714,0.8894322195055692,1750.0
0.764179104477612,0.7314285714285714,0.7474452554744525,1400.0
0.8213350785340314,0.7171428571428572,0.7657107992678462,1750.0
0.9324394017534812,0.8609523809523809,0.8952711067095815,2100.0
0.759680393362016,0.7062857142857143,0.7320106603494227,1750.0
0.9253152279340446,0.9085714285714286,0.9168668909178279,2100.0
