Precision,Recall,F-Score,Support
0.8703991705546915,0.7995238095238095,0.8334574336063538,2100.0
0.8787446504992867,0.88,0.8793718772305497,2100.0
0.7987481945113144,0.79,0.7943500119703136,2100.0
0.6875358989086732,0.684,0.6857633915783443,1750.0
0.904093567251462,0.8834285714285715,0.8936416184971099,1750.0
0.7844762622456669,0.7435714285714285,0.7634763476347635,1400.0
0.6612072999532054,0.8074285714285714,0.7270388474401852,1750.0
0.875716174526223,0.9461904761904761,0.9095902952620737,2100.0
0.7852960312296682,0.6897142857142857,0.7344082750228171,1750.0
0.9260869565217391,0.9128571428571428,0.9194244604316547,2100.0
