Precision,Recall,F-Score,Support
0.744558521560575,0.8633333333333333,0.7995589856670341,2100.0
0.749718574108818,0.9514285714285714,0.8386149003147954,2100.0
0.6025582457743262,0.628095238095238,0.6150617859640942,2100.0
0.6764705882352942,0.44685714285714284,0.5381968341362697,1750.0
0.8662345315262228,0.84,0.8529155787641427,1750.0
0.6324637681159421,0.7792857142857142,0.69824,1400.0
0.5126728110599078,0.7628571428571429,0.6132292145153881,1750.0
0.9803664921465969,0.7133333333333334,0.8257993384785006,2100.0
0.7444608567208272,0.576,0.6494845360824743,1750.0
0.984486102133161,0.7252380952380952,0.835207019468056,2100.0
